Album,Artist,Label,Original Year,Number of Songs,Description,Edition,Condition,Submission Date,Genres
Falco 3,Falco,A&M Records,1985,10,The third album of Falco,O,NM,11/28/2016 13:30,Pop
Greatest Hits II,Queen,Virgin Records,2011,17,The second compilation of the most wonderful Queen's songs,RE,NM,11/28/2016 14:45,Rock | Pop
